algorithm,variant,density,n,m_undirected,source,repeat,seconds
dijkstra,heap,sparse,200,999,199,1,0.0004956000193487853
dijkstra,heap,sparse,200,999,199,2,0.0005433000042103231
dijkstra,array,sparse,200,999,199,2,0.00196460000006482
dijkstra,heap,sparse,200,999,191,0,0.00031060000765137374
dijkstra,array,sparse,200,999,191,0,0.0019407999934628606
dijkstra,array,sparse,200,999,191,1,0.0011688999948091805
dijkstra,heap,sparse,200,999,191,1,0.0003871999797411263
dijkstra,heap,sparse,200,999,191,2,0.00028819998260587454
dijkstra,array,sparse,200,999,191,2,0.001816999982111156
dijkstra,heap,dense,200,11929,170,0,0.0015550999960396439
dijkstra,array,dense,200,11929,170,0,0.0018928000063169748
dijkstra,array,dense,200,11929,170,1,0.0018804999999701977
dijkstra,heap,dense,200,11929,170,1,0.0012138999882154167
dijkstra,heap,dense,200,11929,170,2,0.002791500010062009
dijkstra,array,dense,200,11929,170,2,0.0040868000069167465
dijkstra,heap,dense,200,11929,56,0,0.002075399999739602
dijkstra,array,dense,200,11929,56,0,0.0019674999930430204
dijkstra,array,dense,200,11929,56,1,0.003421200002776459
dijkstra,heap,dense,200,11929,56,1,0.0010420999897178262
dijkstra,heap,dense,200,11929,56,2,0.001935600012075156
dijkstra,array,dense,200,11929,56,2,0.003774400014663115
floyd,numpy,sparse,200,999,,0,0.007389800011878833
floyd,python,sparse,200,999,,0,1.3522013999754563
floyd,python,sparse,200,999,,1,1.377292099990882
floyd,numpy,sparse,200,999,,1,0.007141000009141862
floyd,numpy,sparse,200,999,,2,0.011670299980323762
floyd,python,sparse,200,999,,2,1.3563207999977749
floyd,numpy,dense,200,12042,,0,0.011895299976458773
floyd,python,dense,200,12042,,0,2.0038372999988496
floyd,python,dense,200,12042,,1,1.775052599987248
floyd,numpy,dense,200,12042,,1,0.01721190000534989
floyd,numpy,dense,200,12042,,2,0.014463200001046062
floyd,python,dense,200,12042,,2,1.6573317000002135
dijkstra,heap,sparse,300,1499,189,0,0.00039400000241585076
dijkstra,array,sparse,300,1499,189,0,0.005079199996544048
dijkstra,array,sparse,300,1499,189,1,0.0033215000003110617
dijkstra,heap,sparse,300,1499,189,1,0.00047110000741668046
dijkstra,heap,sparse,300,1499,189,2,0.0009827000030782074
dijkstra,array,sparse,300,1499,189,2,0.003125399991404265
dijkstra,heap,sparse,300,1499,179,0,0.00043769998592324555
dijkstra,array,sparse,300,1499,179,0,0.004098499979590997
dijkstra,array,sparse,300,1499,179,1,0.003291899978648871
dijkstra,heap,sparse,300,1499,179,1,0.0014039999805390835
dijkstra,heap,sparse,300,1499,179,2,0.0006562000198755413
dijkstra,array,sparse,300,1499,179,2,0.0035777000011876225
dijkstra,heap,dense,300,27107,177,0,0.0038555999926757067
dijkstra,array,dense,300,27107,177,0,0.005708999990019947
dijkstra,array,dense,300,27107,177,1,0.005302600009599701
dijkstra,heap,dense,300,27107,177,1,0.006080099992686883
dijkstra,heap,dense,300,27107,177,2,0.007631700020283461
dijkstra,array,dense,300,27107,177,2,0.0052804000151809305
dijkstra,heap,dense,300,27107,269,0,0.006391900009475648
dijkstra,array,dense,300,27107,269,0,0.005652399995597079
dijkstra,array,dense,300,27107,269,1,0.006286599993472919
dijkstra,heap,dense,300,27107,269,1,0.003568899992387742
dijkstra,heap,dense,300,27107,269,2,0.003864800004521385
dijkstra,array,dense,300,27107,269,2,0.005521199986105785
floyd,numpy,sparse,300,1499,,0,0.12333179998677224
floyd,python,sparse,300,1499,,0,4.979376500006765
floyd,python,sparse,300,1499,,1,7.937445599993225
floyd,numpy,sparse,300,1499,,1,0.27046999998856336
floyd,numpy,sparse,300,1499,,2,0.28325560002122074
floyd,python,sparse,300,1499,,2,10.551556899998104
floyd,numpy,dense,300,26936,,0,0.23744389999774285
floyd,python,dense,300,26936,,0,10.603510099987034
floyd,python,dense,300,26936,,1,10.513450800004648
floyd,numpy,dense,300,26936,,1,0.19927470001857728
floyd,numpy,dense,300,26936,,2,0.2124783000035677
floyd,python,dense,300,26936,,2,10.826161100005265
dijkstra,heap,sparse,400,1999,394,0,0.0010066000104416162
dijkstra,array,sparse,400,1999,394,0,0.008029799995711073
dijkstra,array,sparse,400,1999,394,1,0.011207500007003546
dijkstra,heap,sparse,400,1999,394,1,0.0016901000053621829
dijkstra,heap,sparse,400,1999,394,2,0.0012777000083588064
dijkstra,array,sparse,400,1999,394,2,0.011450299993157387
dijkstra,heap,sparse,400,1999,379,0,0.0015198999899439514
dijkstra,array,sparse,400,1999,379,0,0.010287000011885539
dijkstra,array,sparse,400,1999,379,1,0.006158800009870902
dijkstra,heap,sparse,400,1999,379,1,0.001286899991100654
dijkstra,heap,sparse,400,1999,379,2,0.0013672999921254814
dijkstra,array,sparse,400,1999,379,2,0.010130200011190027
dijkstra,heap,dense,400,48226,184,0,0.020132400008151308
dijkstra,array,dense,400,48226,184,0,0.03524570001172833
dijkstra,array,dense,400,48226,184,1,0.03817799998796545
dijkstra,heap,dense,400,48226,184,1,0.029011599981458858
dijkstra,heap,dense,400,48226,184,2,0.02561119999154471
dijkstra,array,dense,400,48226,184,2,0.03256099999998696
